,text
17,Hate to  this.....but my son is in jail and a heroin  addict...pray for him......if you know...you know....thank you!!! #opiodcrisis
18,"@tanya_plibersek @peterstefanovic @SkyNewsAust Good to see you still wear your "" got to run anytime shoes"" when you marry a convicted heroin dealer old habits die hard"
19,"@otherhappyplace Probably all the John Frusciante paintings he made during his hermit years between 1994 and 1998. He was locked in his house doing heroin and crack for four years and made many paintings during that period, they are so disgusting and vile https://t.co/YaBv1PxAZL"
20,"Zaid Shobaki closed, 6years would be perfect! Then he would stop telling murders to murder. Stop selling heroin to young people or crack, even cocaine or weed. Maybe he will start think about legal jobs"
21,"Heroin addicted Zelensky💢

play is over

We will never miss you and Igorsky💢 https://t.co/ySBjdhQ91c"
22,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
23,"Doing heroin seems like a lot of hoops to jump through. You need a spoon, needle, lighter, belt, and the drug itself. Surprised that the junkies have the capacity and follow-through for all the steps. Really quite impressed"
24,"@N_rex01 @AyangGreatness @SamRealtor01 @emmaikumeh @OfficialPDPNig Thank you sis, baba no know say we are PDP patriotic gubernatorially alone. For where u wan see a sane crossriverian coming out to match for Atiku or Muslim-muslim APC candidates when we no dey high on heroin😂"
25,@FoxNews We all know it comes from China but hey you let all the heroin flow in from Afghanistan WHILE WE WAS PROTECTING IT 🤣🤣🤣🤣 The real issue was the Herion bit yall don't want that conversation. You just want treatment for Becky.
26,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
27,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
28,@RPSRS1 @MSNBC @thereidout Legalizing heroin means standardizing formulation. You really thought you had a point :)
29,"Is marijuana a gateway drug? 
Christian says “I was given my first joint in the playground of my school. I’m a heroin addict now, and I’ve just finished my eighth treatment for drug addiction.” 
https://t.co/XOfsojPSRG
#gateway #marijuana https://t.co/NU6cQMuGBS"
30,@EmeksOfficial Well Switzerland did the same with Heroin 🤷🏾‍♀️
31,"Jammu and Kashmir | Last night around 1.50 am our team noticed the movement of a person. He came near the fence. Our party fired and shot him and due to this, he returned. We have recovered 8 packets, suspected to be heroin: SPS Sandhu, DIG BSF, Samba https://t.co/ZoB8AZoioT https://t.co/gbSXVKQ4RC"
32,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
33,@louis1874jones @EuropaLeague Good to see the heroin strength in Edinburgh is still going strong
34,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
35,"Heroin addicted Zelensky💢

play is over

We will never miss you and Igorsky💢 https://t.co/ySBjdhQ91c"
36,"macaw insultingly heroin refunding magnanimously convex
؟?
نمشے

🔹VOX2🔹
🔹VOX2🔹
🔹VOX2🔹"
37,"Alleged drug dealer travelling from Gauteng to Durban arrested again, this time with heroin powder worth R350 000 https://t.co/cNEuKcTTnD"
38,"You don't need heroin to be a hero.
#Drugfreepeshawar 
#SocialReintegration 
#commisionersghazi"
39,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
40,@Llama3Lord madude is out there putting SCARECROW with gio dp minigun hc roll beta blade break the law ive seen heroin addicts saying they will quit after the next hit frfr who were more convincing how did that even get there? (not commenting about how other moves should be higher even)
41,"Alleged drug dealer travelling from Gauteng to Durban arrested again, this time with heroin powder worth R350 000 https://t.co/cNEuKcTTnD"
42,"Fox host Will Cain compares student relief to giving heroin to someone going through withdrawals. “It would be like someone who is addicted to heroin who is going through horrendous withdrawals. And there's a certain person in the room who says, well, the https://t.co/oicEpKtjUo"
43,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
44,"You don't need heroin to be a hero.
#Drugfreepeshawar 
#SocialReintegration 
#commisionersghazi"
45,And Fetterman Is a grifter who lived with and was supported by his parents until he was 49. He’s a communist/socialist that supports Bernie Sanders. He wants to reduce the prison population by 1/3. He wants to decriminalize heroin &amp; other drugs. Educate yourselves https://t.co/GXe3PlfEn6
46,League of legends is the heroin of video games. I was clean for a few months and bam right back at it again baby fiending for some LP.
47,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
48,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
49,"Fox host Will Cain compares student relief to giving heroin to someone going through withdrawals. “It would be like someone who is addicted to heroin who is going through horrendous withdrawals. And there's a certain person in the room who says, well, the https://t.co/SMTL4r41we"
50,@gorgie_willie What’s wrong with you? Lay off the heroin.
51,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
52,"You don't need heroin to be a hero.
#Drugfreepeshawar 
#SocialReintegration 
#commisionersghazi"
53,"You don't need heroin to be a hero.
#Drugfreepeshawar 
#SocialReintegration 
#commisionersghazi"
54,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
55,"You don't need heroin to be a hero.
#Drugfreepeshawar 
#SocialReintegration 
#commisionersghazi"
56,"Narcotics Squad/NorthWest distt. busted an interstate drug syndicate based in U.P, supplying to various states including Delhi-NCR; 3 Drug Peddlers nabbed. 280g heroin worth ₹1 Cr in the international market recovered from their possession. 

#DelhiPoliceUpdates https://t.co/iR5VPhNIGk"
57,"@JohnFetterman Imagine the character John Fetterman must have to want release hardened criminals from prison in PA after the crime rate has increased 60% in Philly under Fetterman's ""leadership""  Fetterman wants to make dangerous drugs like Heroin legal. And heis afraid to debate Dr. Oz."
58,"@hourly_shitpost Man this ain't the 80s,heroin! Man we're all on fentanyl now"
59,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
60,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
61,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
62,"KID CUDI was on the road to Heaven, but now Soul gone in Limbo:uh 9. in his mouth on meth &amp; shooting heroin in Seattle,5mins. ago😕"
63,"People who post ""funny"" videos of heroin addicts must never have seen someone with all the potential in the world get swallowed up by the awfulness of addiction."
64,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
65,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
66,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
67,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
68,People often assume that #overdose deaths only happen to those using drugs such as heroin. However there are rising numbers of #cocaine related fatalities. Take a look at the advice below. #Endoverdose #overdoseaware #IOAD22 @Humankind_UK https://t.co/gJpSAuqVKg
69,"@AnthonyCanton_3 Well, technically they gave in to a terrorist. Jack was also withdrawing from heroin and he never liked Chappelle anyway. I think he was looking for an excuse 😆."
70,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
71,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
72,Heroin withdrawal seems more dangerous than the heroin itself 💀
73,"@AnthonyCanton_3 Well, technically they gave in to a terrorist. Jack was also withdrawing from heroin and he never liked Chappelle anyway. I think he was looking for an excuse 😆."
74,"Results are in from Australia’s first government-backed pill testing service, which tested 58 samples in one month.

#ANUExperts examined the drugs, including ketamine, MDMA, heroin, methamphetamine &amp; cocaine - 40% of which contained no cocaine at all.

📖 https://t.co/FGCGrvmKiA https://t.co/Hwe6JXFMEf"
75,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
76,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
77,@MSNBC @thereidout Yes let’s make heroin legal kill more people like Joe does with the fentanyl such fake news change channel and get the facts
78,"@MayorToddGloria @CMJenCampbell How many refused services? 95% would rather stay on the street where they can shoot up heroin and smoke meth, while they steal our stuff."
79,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
80,[stepping over a heroin addict on the way to buy a $17 coffee] ummm excuse me that's so gauche?
81,"@Garregrrt The scientific reason living in New Jersey makes being a dataminer easier

1. Peak twitter usage is around 11 AM- 1 PM
2. Updates drop at 11 AM/1 PM, making it a great time to keep twitter stragglers around
3. If I go outside, a heroin-addicted homeless man will stab me to death"
82,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
83,@anzu_is_online But would it store all the heroin for the Bay Area? @SpeakerPelosi
84,"@jonkudelka Not that simple.
Like heroin, attacking supply doesn't fix the problem. (It pushes up prices.)
Stopping the demand does."
85,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
86,"Zaid is selling crack even to 17 years old kids, heroin even to 16 years old children's... Close him in prison!"
87,"Narcotics Squad/NorthWest distt. busted an interstate drug syndicate based in U.P, supplying to various states including Delhi-NCR; 3 Drug Peddlers nabbed. 280g heroin worth ₹1 Cr in the international market recovered from their possession. 

#DelhiPoliceUpdates https://t.co/iR5VPhNIGk"
88,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
89,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
90,"“One sample without any cocaine included[…]dimethyl sulfone, another […]sugar, and others were cut with fillers such as talc.
All of the heroin samples contained heroin […]over 65% of MDMA samples contained that drug.
A majority of ketamine samples contained the substance[…]” https://t.co/iBpHJ1IkLA"
91,"@hauntedvirgo @CuriousCat212 I call that a PFU...Professional Fucker Upper...my ride or die always swore that was his professional title 💔 he over dosed on heroin a few years ago...I like to think he passed the title on to me...so now I can share it with you...

You can even have business cards made 😂 https://t.co/itZfyInnYU"
92,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
93,And Fetterman Is a grifter who lived with and was supported by his parents until he was 49. He’s a communist/socialist that supports Bernie Sanders. He wants to reduce the prison population by 1/3. He wants to decriminalize heroin &amp; other drugs. Educate yourselves https://t.co/GXe3PlfEn6
94,"Narcotics Squad/NorthWest distt. busted an interstate drug syndicate based in U.P, supplying to various states including Delhi-NCR; 3 Drug Peddlers nabbed. 280g heroin worth ₹1 Cr in the international market recovered from their possession. 

#DelhiPoliceUpdates https://t.co/iR5VPhNIGk"
95,"@RisenChow When regular moral posturing doesn't give you the high it used to, you need to move to harder and harder stuff. Like switching from weed to heroin."
96,loan forgiveness is good because it reallocates capital from less productive uses (rust belt heroin addicts) to more productive uses (new york cocaine addicts)
97,"When Renton in Trainspotting's opening scene goes ""choose fixed-interest mortgage repayments choose a starter home,"" he could not have imagined a life-long heroin addiction would be more financially sustainable 25 years later."
98,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
99,"Idk it makes me so proud and so happy, to see teja promoting her first movie. I know this is only the begining, but its still SO huge that in few months, we'll get to see our baby on big screens as a friggin heroin of the film! Omggg 🤯💗

#MannKasturiRe #BappaMajhaEkNumber https://t.co/3zZ2OxgBnH"
