,text
20,Missouri voters set to vote on recreational marijuana in November | PBS NewsHour https://t.co/RkcTppLabt
21,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
22,Go ahead and try marijuana's health benifits for yourself. Here's 10% off so you can see for yourself #weed #medical
23,Marijuana smokers who hold the smoke in their lungs for more than ten seconds cause excessive damage to their lower respiratory tract. Holding the smoke in for so long doesn't maximize THC absorption (which happens rapidly). Smoke should be held in for a maximum of three seconds.
24,Applications open Thursday for first retail marijuana dispensary licenses in New York https://t.co/rGR0k3gGOP
25,Marijuana smokers who hold the smoke in their lungs for more than ten seconds cause excessive damage to their lower respiratory tract. Holding the smoke in for so long doesn't maximize THC absorption (which happens rapidly). Smoke should be held in for a maximum of three seconds.
26,"2 things: 

1. This stat seems far too low. 💀
“The amount of young adults who said in 2021 that they used marijuana in the past year (43%), the past month (29%) or daily (11%) were at the highest levels ever recorded.” https://t.co/OsjRpwLywr"
27,"An estimated P1.4-million worth of marijuana plants were extracted in several areas in Davao Del Sur.

Read more: https://t.co/XosYtcOF2R

#WeServeAndProtect
#PNPKakampiMo
#PulisNgPilipino
#MalasakitKaayusanKapayapaanTungosaKaunlaran

https://t.co/txtYyrzpsG https://t.co/1fq3dkuWtH"
28,How Missouri recreational marijuana vote may affect Kansas | The Kansas City Star https://t.co/NOdrUHPzah
29,"Now if @POTUS would change marijuana from a Schedule 1 to Schedule 5 ""drug"", his poll numbers would skyrocket!

Pot shouldn't be in the same Schedule as the likes of heroin, fentanyl, cocaine and other dangerous substances."
30,@AndrewKnight226 @JKTilen @vonderleyen Threatens all of Europe? You smoking marijuana again?
31,Marijuana smokers who hold the smoke in their lungs for more than ten seconds cause excessive damage to their lower respiratory tract. Holding the smoke in for so long doesn't maximize THC absorption (which happens rapidly). Smoke should be held in for a maximum of three seconds.
32,KJ's dear friend was arrested for Cocaine use before. They are a different league and marijuana is retro. https://t.co/bJxqFn24e7
33,"NEW: Marijuana Use On The Rise Among Young Americans: Study
https://t.co/giEG39WkNm"
34,"Gorilla Cookies X Strawberry OG
Indoor organic 💯

   ② ⑤ ⓪/gram
🔥② ⓪ ⓪ ⓪/10gram🔥
Grab/Flash

https://t.co/noAAqPRDaA🍃
Contact me please💕

#กัญชา #BudSStation #กัญชากรุงเทพ #กัญชาog  #weedbkk #กัญชาคุณภาพ #กัญชาออแกนิค #กัญชาไทย #OG #กัญชานอก #weed #marijuana #Thaiweed https://t.co/n7LlLSOAwa"
35,Marijuana smokers who hold the smoke in their lungs for more than ten seconds cause excessive damage to their lower respiratory tract. Holding the smoke in for so long doesn't maximize THC absorption (which happens rapidly). Smoke should be held in for a maximum of three seconds.
36,"Marijuana, hallucinogen use at an all-time high among young adults, study shows 

https://t.co/Zyab6Yi8FK"
37,"Now that #cannabis legal (&amp; less disinfo about it), more young adults (19-30) are using (or admitting to using) it. The rates are stable in teens. 
What this says (alcohol up too) --  people are stressed out -- pandemic, climate, future stability, etc..

https://t.co/N2FAE9ErmM"
38,Michigan’s cannabis testing industry: It's like the ‘Wild Wild West’ https://t.co/egQ13HbmXF
39,@christo77562346 @8NewsNow Right??!! JEEEZE could be another #GOVT #CASHCOW like #marijuana RUNS SO THICK N DEEP higher up in GOVT office! Sooo #CROOKED JUST DO IT ALREADY
40,Marijuana smokers who hold the smoke in their lungs for more than ten seconds cause excessive damage to their lower respiratory tract. Holding the smoke in for so long doesn't maximize THC absorption (which happens rapidly). Smoke should be held in for a maximum of three seconds.
41,"John Fetterman is a strong supporter of legalizing marijuana, marriage equality, single payer healthcare, women’s rights, unions, climate and more! Pennsylvania needs leadership from one of their own. Vote @JohnFetterman for U.S. Senate! 

#FreshResists 
#DemVoice1 
#wtpBLUE https://t.co/vhuJ1uLaGg https://t.co/iUR5auLkpS"
42,@helis_3105 @slutfrbookmales in 6th 💀 damn
43,"‘Specimen of marijuana growing on farm near Plano, Illinois.’ 1938 https://t.co/4hHuCWdxl3"
44,"ใครชอบตึงๆต้องลอง!😇 
Sativa THC 35%🌇
This can make you very high!💚

Contact me please💕
https://t.co/noAAqPztWs🍃
☝️☝️☝️☝️

#กัญชา #BudSStation #กัญชากรุงเทพ #กัญชาog #weedbkk #cannabisbkk #กัญชาเสรี #กัญชาคุณภาพ #กัญชาออแกนิค #กัญชาไทย #OG #กัญชานอก #weed #marijuana #Thaiweed https://t.co/fODpIuEKs5"
45,"How many people can say their mum smokes #weed?!

Loved talking to Johnathan McFarlane from Hybrid Marketing about how normal it is to #smokeweed over in Denver &amp; what it's like to run all the #marketing for the #cannabis industry. 

https://t.co/tu9ScKCKDL

#marijuana #colorado"
46,"@GrimsCoffee @genenetu @AkinOlokun that’s exactly my point. people are saying how bad marijuana is and causes cancer but then it helps lower the symptoms, it helps them with nausea. marijuana is used to help treat a lot of medical problems such as: cancer, parkinson’s, mental health and epilepsy. if it was as —"
47,"Now that #cannabis legal (&amp; less disinfo about it), more young adults (19-30) are using (or admitting to using) it. The rates are stable in teens. 
What this says (alcohol up too) --  people are stressed out -- pandemic, climate, future stability, etc..

https://t.co/N2FAE9ErmM"
48,"An estimated P1.4-million worth of marijuana plants were extracted in several areas in Davao Del Sur.

Read more: https://t.co/XosYtcOF2R

#WeServeAndProtect
#PNPKakampiMo
#PulisNgPilipino
#MalasakitKaayusanKapayapaanTungosaKaunlaran

https://t.co/txtYyrzpsG https://t.co/1fq3dkuWtH"
49,"Now that #cannabis legal (&amp; less disinfo about it), more young adults (19-30) are using (or admitting to using) it. The rates are stable in teens. 
What this says (alcohol up too) --  people are stressed out -- pandemic, climate, future stability, etc..

https://t.co/N2FAE9ErmM"
50,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
51,"Looking at KJ’s IG Story, I bet you he’s having the time of his life right now

Imagine being sponsored by taxpayer’s money to “study” marijuana

That’s every stoner’s dream"
52,"Use of Marijuana and Psychedelics Is Soaring Among Young Adults, Study Finds - NewYork Times

https://t.co/e8M6E2Qt7Z

 The survey found that 43 percent in the 19-30 age group had used cannabis 20 or more times over the previous year, up from 34 percent. In 2011"
53,Go to my YouTube channel GoldenGod and watch the entire Unboxing Review video on an eighth of Penn Health Group Cheese Cake Medical Marijuana flower. @pennhealthgroup https://t.co/9XhOWbSAXt
54,Go to my YouTube channel GoldenGod and watch the entire Unboxing Review video on an eighth of Penn Health Group Cheese Cake Medical Marijuana flower. @pennhealthgroup https://t.co/XAPbaW9BdF
55,"Imagine spending 200k on a medical degree and then having to write medical marijuana prescriptions for some shit called ""Garfields Lasagna"" or whatever. Lmao."
56,I sure am glad that all those marijuana offenders are behind bars while California gives parole to a man who tried to bury 26 kids alive. Priorities.  https://t.co/OdQe6ncP6B
57,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
58,NEWS ALERT: Griner's lawyers tell Russian court she was prescribed medical cannabis... [ Read Full Story @ https://t.co/8X0d1dg6Nc ] #Jobs #Careers #Marijuana #Cannabis #Hemp #CBD #Job #Career #Employment #JobBoard #JobHunt #JobSearch #HiringNow
59,"Marijuana Journal and Tracking System: Cannabis Notebook or Diary for Pot Users (Medical or Recreational) - Cannabis Gift for [FWG0WXW]

https://t.co/F26zRAtraA"
60,"The first licenses will be granted to those previously impacted by the enforcement of laws that prohibited marijuana use and possession.
https://t.co/hcwZs1keQ0"
61,Marijuana // Chrome Sparks
62,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
63,Go to my YouTube channel GoldenGod and watch the entire Unboxing Review video on an eighth of Penn Health Group Cheese Cake Medical Marijuana flower. @pennhealthgroup https://t.co/hnvMqtP5Yu
64,Go to my YouTube channel GoldenGod and watch the entire Unboxing Review video on an eighth of Penn Health Group Cheese Cake Medical Marijuana flower. @pennhealthgroup https://t.co/snqpaSRv16
65,"Hemp's properties allow mold resistance, and its porous materiality makes the building materials made of it breathable. In addition hemp possesses the ability to absorb and release moisture without deteriorating.
Legalise Hemp

Marijuana
#HempSiBangi"
66,Cannabiz…via @NYTimes https://t.co/g2ahN2IDUe
67,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
68,"Taxes, Regulations, and Small Business in California’s Marijuana Industry

@CatoInstitute https://t.co/pgqlqBP8P1"
69,"Marijuana and hallucinogen use in the past year reported by young adults 19 to 30 years old increased significantly in 2021 compared to five and 10 years ago, reaching historic highs in this age group since 1988, according to the Monitoring the Future (M… https://t.co/vUobPbVWL5"
70,"Is marijuana a gateway drug? 
Christian says “I was given my first joint in the playground of my school. I’m a heroin addict now, and I’ve just finished my eighth treatment for drug addiction.” 
https://t.co/XOfsojPSRG
#gateway #marijuana https://t.co/NU6cQMuGBS"
71,"People ages 19 to 30 are using weed and hallucinogens at the highest rates ever recorded, according to a 2021 NIH survey. Binge-drinking also hit its highest level since 2005.
https://t.co/TTPpnDxmjV"
72,Did you know that marijuana and hallucinogen use reported by 19 to 30 years old increased significantly in 2021 compared to five and 10 years ago? What can you do? Get involved and reach kids before dealers do 👉 https://t.co/72mXV7xphP https://t.co/lk6MeL38m4
73,Marijuana smokers who hold the smoke in their lungs for more than ten seconds cause excessive damage to their lower respiratory tract. Holding the smoke in for so long doesn't maximize THC absorption (which happens rapidly). Smoke should be held in for a maximum of three seconds.
74,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
75,"‘Specimen of marijuana growing on farm near Plano, Illinois.’ 1938 https://t.co/4hHuCWdxl3"
76,"#cannabiscommunity #marijuana #cannabis Minnesota hemp edibles law ushers in new rivals, upends marijuana market … ’s two licensed medical marijuana providers – owned by Verano … others are considering bans.
        Marijuana edibles, too https://t.co/Ltfgd0B2tp https://t.co/AeuWcQngTs"
77,"#cannabiscommunity #marijuana #cannabis Recreational Marijuana Will Get a Vote This Fall, but Will It Count? | Arkansas Business News 
                We were unable to send the article.
            
                                    The state has https://t.co/NehhX6wG4a https://t.co/QMB6ywUR9M"
78,"#cannabis #marijuana #weed #cannabiscommunity Indigo Harper Partners Up With Kurativ Premium CBD To Broade… 
                 
                    (MENAFN- GetNews) 
  NEWPORT BEACH AND TEMECULA, CA – AUGUST 6, 2022 –  CBD brands Indigo Harper and https://t.co/srLjxILu9C https://t.co/XAFVcpn7jp"
79,"#cannabis #marijuana #weed #cannabiscommunity 4 Ways You Can Use CBD To Get The Most Out Of It … natural remedy for various ailments. CBD offers several health benefits,  … /rLR4smahG2Q
        1. Use CBD Topically
        CBD topicals are lotions, https://t.co/EroU1G5cH7 https://t.co/9JWd8JTD7q"
80,Go to my YouTube channel GoldenGod and watch the entire Unboxing Review video on an eighth of Penn Health Group Cheese Cake Medical Marijuana flower. @pennhealthgroup https://t.co/QX7z0RBaic
81,@omw @CNN Oklahoma expanded Medicaid and has medicinal marijuana…also a working power grid.
82,"Thailand Had Notoriously Harsh Drug Laws. Now Weed Is Legal—and That's Making Things Complicated - Bangkok Post

https://t.co/cN8FHnGEVF

Today, tourists strolling the Thai capital have their pick of dozens of shops and stalls emblazoned with neon marijuana leaves"
83,@muir_hands @CCVagina Logically every pot smoker in the world reads marinara as marijuana because we aren't fully paying attention lol
84,N.Y. Medical Marijuana Giants Struggle to Break Into Recreational Market https://t.co/aoNlsD1FBe
85,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
86,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
87,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
88,"Some of you are so carried away by social media buzz that you forget that smoking marijuana and the likes of it is still illegal in Nigeria.  If NDLEA picks you up, understand that you can actually do time for it. The people hailing you now won’t be there when you’re arrested."
89,"Despite the prominence of marijuana usage for medicinal and recreational reasons both today and in the recent past, it continues to be perceived in a negative light by many people with a taboo-like stigma still bound to cannabis to date.

Read more at https://t.co/ugigq0HvMv https://t.co/oEfNGIpoor"
90,"People ages 19 to 30 are using weed and hallucinogens at the highest rates ever recorded, according to a 2021 NIH survey. Binge-drinking also hit its highest level since 2005.
https://t.co/TTPpnDxmjV"
91,"@AnthonyMKreis Now I get your silly cartoon because it took me a minute to figure out which liberal agenda and/or cause you were ""outraged"" by &amp; trying to justify. I'm pretty sure debt doesn't work like that, &amp; I guess we should keep all marijuana criminals in prison once it's legal. Right?"
92,"Looking at KJ’s IG Story, I bet you he’s having the time of his life right now

Imagine being sponsored by taxpayer’s money to “study” marijuana

That’s every stoner’s dream"
93,If Mitch McConnell ushers in the entire opioid epidemic on his watch (w KY being 1 of the 3 states specifically targeted by Purdue Pharma) and then also prohibits medical marijuana to help addicts recover in his own state does that make him a regular monster or an extra monster?
94,"George took my #bakingwithcannabis to the local dispensary and they went nuts for it and sure enough the next day, sales.  It's a beautiful #cookbook to own for the #marijuana chef.  Check it out https://t.co/TxYtDQBOxX"
95,@loud @Marijuana @ps5 😅😂😂 because you make me feel different nobody can give me the feeling you give me LOUD
96,"Should they not federally decriminalize it before they do this?
 Feds Issue First Refunds For Cannabis Products That Were 'Deceptively Marketed' To Consumers - Marijuana Moment https://t.co/ZqVIK5Rhmy"
97,Statewide poll shows referendum on #recreationalmarijuana legalization in S.D. could fail in November https://t.co/K1ahdVy6Zs
98,@Teehrankinq @Marijuana @ps5 Why would you want to b here with me?
99,Marijuana smokers who hold the smoke in their lungs for more than ten seconds cause excessive damage to their lower respiratory tract. Holding the smoke in for so long doesn't maximize THC absorption (which happens rapidly). Smoke should be held in for a maximum of three seconds.
