sl_no,text,Label
30,"Alcohol or weed
BEAUTY THE DIAMOND
#BeautyTukura 
#WeLoveYouBeauty",1
31,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
32,"@amuldotexe Just because everyone in their 20s is drinking alcohol, smoking weed and partying hard.

Doesn't mean it's okay. 

Reminds me of what my mom always says,

Agar saare kue me kudenge toh, tum bhi kudoge kya?

Translation: If everyone will jump in a well, will you jump too?",1
33,"and alcohol, zinanasa alafu unakuwa ADDICTED! Having changed the natural reward system in the brain, &amp; disrupted neurotransmission (brain signaling), you get nasty reactions if you stop (WITHDRAWALS/MAZINGAUMBWE/KUROGWA)....

...... to be continued.....",1
34,"They didn't win the appeal, they got a stay of enforcement #blockisland
https://t.co/11jQZj1OAt",1
35,"@Doyioung My alcohol tolerance level is (quite) low. Thanks for taking care of me, brother. Please don't tell my girlfriend about this, okay? 😔🤏🏻",1
36,"""COSMOS"" ""KANDOTHII"" ""BENZHEXOL"" ""ARTANE""

Client: Uko na ""cosmos""
PharmaCaring: Explanation below 👇

The only ""Benz"" vijana are buying for them to be HIGH! 🥵

Drug/Subtance/Alcohol use start as fun &amp; trigger release of feel good neurotransmitters like dopamine, serotonin &amp;",1
37,"""Alcohol-Free"" &amp; TWICE (트와이스) are currently trending at #6 and #7 on MelOn Realtime search 🔥

TalkThatTalk MV Teaser2
#TalkThatTalk #Between1and2   
#TWICE @JYPETWICE https://t.co/PMAMocsDMZ",1
38,"This is super embarrassing, but it’s been 8 months of no alcohol and tons of self care &amp; look what I’ve accomplished 🥹 https://t.co/wIpX0nfowm",1
39,"Weed&gt;&gt;&gt;&gt;&gt;&gt;&gt; Alcohol

We all agree right??",1
40,Did you know using hydrogen peroxide or rubbing alcohol to clean an injury can actually harm the tissue and delay healing? The best way to clean a minor wound: https://t.co/gwogoQ0M3R https://t.co/t6mnfWgkC3,1
41,"@R33lo_G @cnsstntbiscuits They Surely Deliver Good Music And You Wouldn't Know That Cause You Don't Give them A Chance, Even Your So Called OG's They Do Talk About Mnqundu and Alcohol, Kwesta Made A Song About Ngud Which Is Alcohol And Cassper Made Noise On That Beat, Cassper Made Drill Songs You Said Non",1
42,Did you know using hydrogen peroxide or rubbing alcohol to clean an injury can actually harm the tissue and delay healing? The best way to clean a minor wound: https://t.co/gwogoQ0M3R https://t.co/t6mnfWgkC3,1
43,"Onapito Ekomoloit officially launches the #MindYourDrink campaign, which is aimed at creating public awareness about the dangers of illicit alcohol. https://t.co/1E4D58G7i1",1
44,"𝙥𝙡𝙨 𝙧𝙩
⊹ ˓ ✦ 𝐆𝐈𝐕𝐄𝐀𝐖𝐀𝐘 ✦ ₊ ⊹

♡ date : 3 SEP 22
♡ location : thunder dome
♡ time : TBA

👻 Postcard 100 ea
🫧 Alcohol spray 30 ea
🧩 Sticker 50 ea

มารับกันน้าาา อยากแลกทักได้นะคั้บบ🙌🏼🎀

#Woodz_ColorfulTrauma_inBKK 
#WOODZ #조승연 https://t.co/pzEXq6JOrO",1
45,"You don’t happen to have alcohol on you, do you?",1
46,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
47,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
48,"#millerlite #carbs #calories #beer #alcohol 
The Complete Guide You Need To Know About Miller Lite Calories And Carbs In Beer
 Miller Lite is a beer that has been around for over 35 years. It’s brewed by MillerCoors and has an alcohol, Learn More: https://t.co/PVYtm9Grjs https://t.co/clHyVLAJSd",1
49,"🐱 isn't this alcohol made by Jay-Z?
🐥 there's alcohol you said?!
🐥 (to megan) thank you!😜
https://t.co/G2PxiX6o39",1
50,"Since #cannabis is trending, I'll post.
What do we think about people using cannabis medically, or otherwise, when they are 20 years abstinent from #alcohol after an alcohol use disorder? The AA people say no...but that isn't science...)
#addiction
https://t.co/xc21Ma9YU1",1
51,@StevenJMiles Also- https://t.co/rI1vxaNYR1 - what an industry... 🙄,1
52,"Alcohol E-Commerce Market growing at a 15.2% CAGR by 2031
E-commerce refers to the buying and selling of goods online. Therefore, alcohol e-commerce refers to the sale of beer, wine, &amp; liquor on the internet. https://t.co/DNETQpSF5a
#alcohol #ecommerce #beverage 
@vivino @Drizly https://t.co/v404KgR3ov",1
53,"STUDY: The study researched nearly 5 million people over 40 who were split into two groups. One group maintained their usual drinking habits, the other upped their alcohol intake. #njmornings
https://t.co/H2oCJPTgPv",1
54,"This is super embarrassing, but it’s been 8 months of no alcohol and tons of self care &amp; look what I’ve accomplished 🥹 https://t.co/wIpX0nfowm",1
55,"More than 80% of a study's participants of who were given psilocybin, the ingredient in magic mushrooms, drastically reduced their alcohol intake in eight months. https://t.co/e2NcmeV4Qc",1
56,"""dont speak ill of the dead"" is for your uncle who had an alcohol problem, not the politician who upheld the oppression of millions of people",1
57,@renoomokri Anything you do in life.... If you like drink only water if you do anything.... Surely the certain fate will happen. You want red meat eat. You want alcohol drink. Don't be deceived you will surely die one day. Don't just hate someone you might regret. Be humble death comes,1
58,"@BellevueDoc anything better than benedryl for blinding?
that's like blinding cannabis with alcohol -- they have totally different effects...",1
59,"@HAWTToys She whined about her name. Hulks name. Got fired, got hired. Talked about how we should give criminals a second chance. Drank her own bodyweight in alcohol and said she was lonely.

She needs a tiktok not a tv series",1
60,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
61,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
62,"By the way, Ruto has a child, a daughter with Odinga family. I've seen the girl. Smiled at her even. I respect men like Ruto, they dominate. Doyen doesn't drink alcohol, but he eats. Akishika wewe, utalia. And anazaa COPYRIGHT.",1
63,"In addition to giving up alcohol, a great camera angle can also help you lose weight.",1
64,"In Africa we import:
1) Fish
2) Tea
3) Tomatoes
4) Sugar 
5) Sauces and ketchup
6) Chewing gum 
7) Rice
8) Garlic
9) Poultry 
10) Oil and fats 
11) Pork
12) Beef 
13) Alcohol 
14) Palm oil
15) Soybean 
16) Dairy
17) Wheat
18) Vegetable oil 
19) Malt
20) Pasta 
21) Sunflower oil",1
65,"Magic mushroom ""trips"" may help people who struggle with alcohol dependence, a new study finds. https://t.co/Vf4NICmQvo",1
66,"More than 80% of a study's participants of who were given psilocybin, the ingredient in magic mushrooms, drastically reduced their alcohol intake in eight months. https://t.co/e2NcmeV4Qc",1
67,"This is super embarrassing, but it’s been 8 months of no alcohol and tons of self care &amp; look what I’ve accomplished 🥹 https://t.co/wIpX0nfowm",1
68,ONLY THE MOST EXPENSIVE ALCOHOL CAN MOVE INTO MY ASS,1
69,I’m 742 days clean &amp; sober! No booze. No alcohol. No weed. No pills. No coke. Can I get a Amen?!,1
70,"'Bookmakers ruin entire families - they are worse than alcohol' 

@TeamKhabib on why Eagle FC will never be sponsored by betting sites https://t.co/ibUWJ3BEjQ",1
71,@just_magnum think we might of found who drank the other bottles of alcohol @rhymeVAL @ardiis,1
72,"Interviewer : ""So Tatenda, tell us do you drink alcohol ?"" 

Me: https://t.co/ypDgZxnj3A",1
73,"It is neither registered nor certified nor does it pay taxes. This alcohol is dangerous to the health of the consumers &amp; also undermines the economic development of the country.
#MindYourDrink",1
74,"@NBLUganda is partnering with @URAuganda , @uaia_ug  and @UNBSug in  its newly launched campaign called #MindYourDrink .
Research carried out shows that this alcohol accounts for 65% of the alcohol market in Uganda. https://t.co/xe1xfgGfsK",1
75,"""Homeless ppl use drugs""

So I guess you want to ban alcohol in hotels? Prescription drugs? Putting aside the absurdity of thinking keeping out unhoused = keeping out substance use - if you think prohibiting substances prevents harm, 100 years of drug war victims have some news",1
76,@shoe_jimmy1 @deborahjonesnz Involving alcohol,1
77,"Magic mushroom ""trips"" may help people who struggle with alcohol dependence, a new study finds. https://t.co/Vf4NICmQvo",1
78,"More than 80% of a study's participants of who were given psilocybin, the ingredient in magic mushrooms, drastically reduced their alcohol intake in eight months. https://t.co/e2NcmeV4Qc",1
79,@TheRobinsfromOz The amount of alcohol I may have consumed by that time (starting at 3:30pm) I don’t think going onto the live airwaves is advisable !!,1
80,#covid19 #Gambling #Alcohol Junk #Food #Health via @GoldingCartoons https://t.co/jgtOhgnKAp #TheDrum #AusPol,1
81,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
82,@PipiUniversel Take rest and don't drink alcohol!!! 😎,1
83,got russian customers and of course they made a joke about drinking the medical alcohol,1
84,"Now that #cannabis legal (&amp; less disinfo about it), more young adults (19-30) are using (or admitting to using) it. The rates are stable in teens. 
What this says (alcohol up too) --  people are stressed out -- pandemic, climate, future stability, etc..

https://t.co/N2FAE9ErmM",1
85,Did you know that each God of Destruction and their angel companion got their names from different types of alcohol? https://t.co/dmYCLswGt1,1
86,"This is super embarrassing, but it’s been 8 months of no alcohol and tons of self care &amp; look what I’ve accomplished 🥹 https://t.co/wIpX0nfowm",1
87,Why excise revenue of Delhi nosedived despite 70% rise in Alcohol consumption yoy ?? https://t.co/AKGCuit66d,1
88,"Weed baby!! Any day 🤣🤣 I!! Alcohol is a no for me!! 

BEAUTY THE DIAMOND 
#BeautyTukura𓃵 
#WeLoveYouBeauty https://t.co/p4vQGuoClF",1
89,"More than 80% of a study's participants of who were given psilocybin, the ingredient in magic mushrooms, drastically reduced their alcohol intake in eight months. https://t.co/e2NcmeV4Qc",1
90,"Rory Gallagher Live on Irish TV, 1977. 🎶'Too Much Alcohol' https://t.co/nGjuVe6ul5",1
91,"The top 5 causes of erectile failure in men today are

1. Sugar

2. Maize flour

3. Wheat flour

4. Alcohol

5. Smoking 

#FoodFriday",1
92,"Deaths from blood clots are rising. Flights longer than 4 hours increase risk.

For 3 days before a long flight 
1. Exercise for 30-60 mins daily
2. Take garlic, ginger, cinnamon mixture
3. Take an omega 3 and turmeric supplement
4. Drink lots of water
5. Avoid alcohol and coffee https://t.co/MdVRZyr0ri",1
93,"NBCNews: More than 80% of a study's participants of who were given psilocybin, the ingredient in magic mushrooms, drastically reduced their alcohol intake in eight months. https://t.co/Gz8DJYfdbR",1
94,"Benefits of pill testing: few are going to fork out R1k for gram of 50% talcum. Here's to evidence based #harmreduction to overcome moral panic re substance use. Reminder: drugs include alcohol, nicotine, headache tablets. PS sugar should be classified as substance, not nutrient. https://t.co/Fj1zQnYczt",1
95,"Alcohol is the only drug where if you don’t do it, people assume you have a problem. 

-@ChrisWillx",1
96,@StonerPhillyFan And potentially kill alcohol sales. Big business and gov will never let it happen,1
97,@SevSev5662 NO ALCOHOL GRPR THE CHILD,1
98,"More than 80% of a study's participants of who were given psilocybin, the ingredient in magic mushrooms, drastically reduced their alcohol intake in eight months. https://t.co/e2NcmeV4Qc",1
99,"Now that #cannabis legal (&amp; less disinfo about it), more young adults (19-30) are using (or admitting to using) it. The rates are stable in teens. 
What this says (alcohol up too) --  people are stressed out -- pandemic, climate, future stability, etc..

https://t.co/N2FAE9ErmM",1
0,Columbia is planning to decriminalize cocaine and make it legal to finally end the war on drugs https://t.co/J8Ctal78Fb,1
1,"My #top5BTSsongs
1) Magic shop(will never change)
2) Run BTS( there is cocaine in this song )
3)Paradise
4) Film out
5) Wings outro
This list is not permanent, Magic shop is the only constant, by next week i’ll have another top five",1
2,Yes is truth he put cocaine there and give her to smoke then he fuck her normal would not agree,1
3,"@TheChiefsGame My sister worked full time while she went to KU business school 

You know how? 

Cocaine",1
4,Undoing bad habits …evolving each day 😌,1
5,"Summary:

""I stand with cocaine"" https://t.co/9KTmiqOJbi",1
6,This is my Friday 😌,1
7,"$SPRC  6-K  SciSparc   (25 Aug, 6:54am)

📰 Results indicate significant decrease in cocaine craving in a sub-group that received the treatment

https://t.co/rVxUbcRFGo

#SPRC #6K #SciSparc #News",1
8,If Colombia legalizes cocaine and I can somehow convince my boss to let me go fully remote. I’m leaving the west man. Like there is nothing for me here,1
9,"@GiovannaBlu7 It is, just the lines of cocaine were missing 🤣🤣🤣",1
10,"Business Insider - TikTok is like crack cocaine, according to a Wall Street research firm. A top market analyst explains how the Chinese app has displaced giants across Big Tech. https://t.co/JxQBlWdJU1 https://t.co/SF0cN71ZIy",1
11,"Many of our mysterious young heart attack patients could be potential cocaine abusers. It is alarmingly easily available if you have the right contacts. #RaveParties . Should we test regularly? 
Potential problem areas - medicolegal, social, insurance denial #MedTwitter https://t.co/FQ17DNonG8",1
12,BREAKING: Colombia is looking to decriminalize cocaine 😳‼️ https://t.co/ivVwkFrFEY,1
13,This is where cocaine really comes from https://t.co/qqrsiud71N,1
14,"Now if @POTUS would change marijuana from a Schedule 1 to Schedule 5 ""drug"", his poll numbers would skyrocket!

Pot shouldn't be in the same Schedule as the likes of heroin, fentanyl, cocaine and other dangerous substances.",1
15,@HopefulB2020 @SirPicklesACat @steviusthegreat @EeyoreSchlong @cleaningtowels @Shamanator @Limekiller70 @sarah_b1999 @stevius2great @Notamused15 @cocaine__monkey @Anse36933094 @NotPodium @RickWrightNow @genghisjon30 @lance_vamplew @11krkts @LitterboxToast Just dip them in some couch Kranch…they’ll be fine. https://t.co/hyGfqK8Sb7,1
16,BREAKING: Colombia is looking to decriminalize cocaine 😳‼️ https://t.co/ivVwkFrFEY,1
17,@TruthBall4 @D1AlphaVeteran @BungieHelp Don‘t worry my friend…one day a girl might want to talk to you if she’s on enough cocaine.,1
18,Cadillac Junkies - Cocaine Mix,1
19,"https://t.co/GI0tllUOKf

stop posting stuff without sources",1
20,KJ's dear friend was arrested for Cocaine use before. They are a different league and marijuana is retro. https://t.co/bJxqFn24e7,1
21,Jeff Hardy's only addiction is wrestling. And meth. And paint. And cocaine. And looking like a tool.,1
22,"Do you wanna know how I found out who Andrew Tate was? 
I was interviewing a candidate for a role and he said he likes to watch him he’s really interesting. I went to check it out later that evening and he was honestly better off saying he does cocaine in his free time.",1
23,"@DonaldJTrumpJr It's got to take a lot of hubris - or a lot of cocaine - for a legacy admission who to this day lives off the ill-gotten gains of his pimp great-grandfather, slumlord grandfather and con artist father to put this out publicly.",1
24,"Do you wanna know how I found out who Andrew Tate was? 
I was interviewing a candidate for a role and he said he likes to watch him he’s really interesting. I went to check it out later that evening and he was honestly better off saying he does cocaine in his free time.",1
25,@Byrd061 @cocaine__monkey @cleaningtowels @steviusthegreat @HopefulB2020 @EeyoreSchlong @Shamanator @Limekiller70 @sarah_b1999 @SirPicklesACat @stevius2great @Notamused15 @Anse36933094 @NotPodium @RickWrightNow @genghisjon30 @lance_vamplew @11krkts @LitterboxToast We could use a Byrd…even they are a ruse. https://t.co/aVtknNu1Ay,1
26,"@NFTshills Check out the most controversial NFT collection ever!

CRYPTO COCAINE 🔥🚀

https://t.co/nzq9AQ24gC https://t.co/9vDtvAkmkP",1
27,"TikTok is like crack cocaine, according to a Wall Street research firm. A top market analyst explains how the Chinese app has displaced giants across Big Tech. https://t.co/LndMWOllwI https://t.co/0L8yaZujgn",1
28,Honey bees on Cocaine extravagant the amont of nectar they have collected.,1
29,"#ALGÉRIE UNE #PRISON A CIEL #OUVERT..#New_Guantánamo
Algerians chanting 
"" We did not vote Tebboune Cocaine not our President "" the mention of Cocaine refers to his son Khaled #Tebboune a drug trafficker 
#Algérie #Algeria #الجزائر https://t.co/qQo9x5iYrr",1
30,"#ALGÉRIE UNE #PRISON A CIEL #OUVERT..#New_Guantánamo
Algerians chanting 
"" We did not vote Tebboune Cocaine not our President "" the mention of Cocaine refers to his son Khaled #Tebboune a drug trafficker 
#Algérie #Algeria #الجزائر https://t.co/qQo9x5iYrr",1
31,BREAKING: Colombia is looking to decriminalize cocaine 😳‼️ https://t.co/ivVwkFrFEY,1
32,Cocaine-induced comment? https://t.co/SsbvIX9HIA,1
33,i see why ppl did cocaine while working an office job…,1
34,@DonaldJTrumpJr If Truth Social is doing so great (it’s not) then why is Cocaine Jr. still on Twitter?,1
35,"@ElleMaria2 @cmwilliams72 @henriziolkowski @maggieanneb12 @caslernoel @GOP it's unproven in this case, but it's also 100% plausible! Roger Stone's been lurking around the edges of decency for decades and he recently said that Madison was telling the truth about cocaine orgies....",1
36,BREAKING: Colombia is looking to decriminalize cocaine 😳‼️ https://t.co/ivVwkFrFEY,1
37,"reading your horoscope, you were just doing cocaine in my kitchen",1
38,&amp; y’all are dumb AF for wanting to decriminalize certain drugs — especially cocaine. https://t.co/e9KL4E9rRD,1
39,"TW Drugs drug abuse cocaine coke blow
.
.
.
.
.
Sorry for the edgy Klavier but I just like it when rock stars are all fucked up https://t.co/43fML8unTa",1
40,"Colombia, world headquarters of cocaine production and consumption—pathetic! https://t.co/rAREpG1Bcy",1
41,"Zaid Shobaki closed, 6years would be perfect! Then he would stop telling murders to murder. Stop selling heroin to young people or crack, even cocaine or weed. Maybe he will start think about legal jobs",1
42,"@olssi @MariaKostiander @DrEliDavid @rzioni No, cocaine is reserved for government only 😚",1
43,"#ALGÉRIE UNE #PRISON A CIEL #OUVERT..#New_Guantánamo
Algerians chanting 
"" We did not vote Tebboune Cocaine not our President "" the mention of Cocaine refers to his son Khaled #Tebboune a drug trafficker 
#Algérie #Algeria #الجزائر https://t.co/qQo9x5iYrr",1
44,“It’s funding the murder of children when you put that cocaine up your nose”. H/T ⁦@rachaelvenables⁩ ⁦@LBC⁩ ⁦@GlobalPlayer⁩ #olivia https://t.co/hGLE2MD5XI,1
45,"Wait, Colombia wants to decriminalize cocaine! Wueh!",1
46,You’re telling me that monkey didn’t enjoy the cocaine and kebab?,1
47,"[August 25, 2022 at 4:28 am] Cocaine Cowgirl by Matt Mays",1
48,"@DonaldJTrumpJr Your degree: (FULLY PAID FOR BY YOUR DADDY’S COMPANY)

University of Pennsylvania
$60,042 Tuition, plus $21,068
on avg books, room &amp; board….although your lavish housing, alcohol &amp; cocaine cost Daddy’s company far more!
$81,110 x 4 yrs = $324,440

How much debt do you have, Jr.?",1
49,"I love this story. Such an important and impactful way to address safety concerns. Excellent quotes throughout. 

Australia’s first government-backed pill testing clinic finds 40% of ‘cocaine’ contained no coke https://t.co/D07LtQkQKs",1
50,That cocaine skinny looked good I guess but being legit healthy and in shape feels and looks so much better.,1
51,"Do you wanna know how I found out who Andrew Tate was? 
I was interviewing a candidate for a role and he said he likes to watch him he’s really interesting. I went to check it out later that evening and he was honestly better off saying he does cocaine in his free time.",1
52,"@HalSparks Reading replies, I saw that ""Coco"" isn't her nickname. It references her and Mitch's cocaine incident. Shame on Tfg, shameful.",1
53,"Tom Swarbrick: If you take a line of cocaine you are absolutely helping and funding the type of criminality that has led to a nine-year-old girl being shot dead in her own home.

@TomSwarbrick1 https://t.co/bgyh2lEdKr",1
54,"Very little makes me more furious than the moral gymnastics of the worthy, middle-class cocaine-user 
Its all laughed off as a bit of fun. I mean, it’s not as if anybody is getting hurt. The drug turf wars &amp; consequent knife crime happen to other people! https://t.co/nlzVMdV5q6",1
55,"Mum fed pet monkey kebabs and offered it cocaine before flushing it down toilet!! 

Milly is now doing well at @MWApeRescue.

Full story: https://t.co/D9JS5W135K https://t.co/DtzoDVE6Pr",1
56,he loves me with every beat of his cocaine heart,1
57,Australia’s first pill-testing clinic Canberra: 40 per cent of samples did not contain cocaine https://t.co/X5bPNaqaMn,1
58,"Some of Ritalin's street names: 
Diet Coke
Kiddie Cocaine
Kiddie Coke
Poor man’s cocaine
R-ball
Rids
Skittles
Smarties
Vitamin R
Find out more, do the free online course: https://t.co/BviKzD66IY https://t.co/9Lz0NaQRe6",1
59,"Mum fed pet monkey kebabs and offered it cocaine before flushing it down toilet!! 

Milly is now doing well at @MWApeRescue.

Full story: https://t.co/D9JS5W135K https://t.co/DtzoDVE6Pr",1
60,"@DonaldJTrumpJr Hey, cocaine princess, 
Your old man never paid his debts.
Your old man never paid his debts.
Your old man never paid his debts.
Your old man never paid his debts.
Your old man never paid his debts.
Your old man never paid his debts.
Did you get it @DonaldJTrumpJr ?",1
61,@JayJay08752584 @SkyNews I’d go further to say it all started much earlier as in 2005. Around the time Cameron &amp; Osborne had to cut a deal with the News Of The World to go easy on publishing a more favourable version of George Osborne/ Cocaine/ Hooker Story. Then gave Andy Coulson No 10 Communication Job,1
62,@Jim_Jordan You gonna celebrate with a cocaine party?,1
63,"@MilitantMindst8 Former LAPD officer Michael Ruppert also blew the whistle on the CIA selling cocaine to Black communities. His death was also labeled a suicide. 
https://t.co/gqL1XeKXpz",1
64,The US President’s son #HunterBiden has gone from crack cocaine to finan... https://t.co/dY6tBrMdIj via @georgegalloway @MoatsTV &amp; @YouTube https://t.co/TdysEjfbmw,1
65,It feels like a myth that some people can start a task and then finish it without starting a dozen more tasks like a squirrel on cocaine.,1
66,"@BrianPelan @DarraghOBrienTD @EOBroin Maybe the father of three should start looking for a job instead of selling dope around, right Brian?

Disgusting.

https://t.co/UMpvLqLd7m",1
67,"#ALGÉRIE UNE #PRISON A CIEL #OUVERT..#New_Guantánamo
Algerians chanting 
"" We did not vote Tebboune Cocaine not our President "" the mention of Cocaine refers to his son Khaled #Tebboune a drug trafficker 
#Algérie #Algeria #الجزائر https://t.co/qQo9x5iYrr",1
68,@SavageCharts @Trader_XO Damn cocaine,1
69,@Kory_B12C I'm going to go to Rick James to answer that question! Cocaine it's a hellva drug! 😂😂😂,1
70,"I'm really disappointed that no one has gotten to the bottom of the Madison Cawthorn cocaine orgy story yet... Don't blow this, media, we need answers!",1
71,"Tom Swarbrick: If you take a line of cocaine you are absolutely helping and funding the type of criminality that has led to a nine-year-old girl being shot dead in her own home.

@TomSwarbrick1 https://t.co/bgyh2lEdKr",1
72,"Do you wanna know how I found out who Andrew Tate was? 
I was interviewing a candidate for a role and he said he likes to watch him he’s really interesting. I went to check it out later that evening and he was honestly better off saying he does cocaine in his free time.",1
73,"@SeanOflynn9 Maybe the father of three should start looking for a job instead of selling dope around, right Sean?

https://t.co/UMpvLqua5m",1
74,"@HigherPoweredXO She talked about doing it on the stand, humble bragged about it to Camille, admitted it to her nurses, docs, and therapists, her friends talk about doing it with her, she just threw in a , ""I don't do cocaine"" as if that's all it takes which apparently it was to her supporters!",1
75,@sz0f1 @xe0_xeo fun fact he is notchs brother in law and he did many of the paintings in Minecraft he had quite the interesting technique for creating those artworks,1
76,Monkey who was flushed down lavatory and offered cocaine settles with ‘boyfriend’ https://t.co/wIaqAUb1NX via @Yahoo,1
77,"I love this story. Such an important and impactful way to address safety concerns. Excellent quotes throughout. 

Australia’s first government-backed pill testing clinic finds 40% of ‘cocaine’ contained no coke https://t.co/D07LtQkQKs",1
78,Cocaine-induced comment? https://t.co/SsbvIX9HIA,1
79,@CricketnBeer @MichaelSpring17 He could do a feature on cocaine and a copper. That could be important.,1
80,Favelas Willian vs Cocaine Willian https://t.co/tUk2qAXurK,1
